"Code de categorie";"Designation";"Agence";"Famille de categorie";"num_serie_materiels";"quantite_materiels";"designation_comp";"num_serie_composant"
"LO6701365";"Machine de Portage HYDROCA";"21 Rue de la Dhuys, 93470 Coubron";"PORTAGE";"";"2";"";"";
"LO6701365";"Machine de Portage HYDROCA";"324 route des vernes 74370 Pringy Annecy";"PORTAGE";"";"2";"";"";
"LO6701366";"Machine de Portage";"324 route des vernes 74370 Pringy Annecy";"PORTAGE";"";"2";"";"";
"LO6701366";"Machine de Portage";"21 Rue de la Dhuys, 93470 Coubron";"PORTAGE";"";"2";"";"";
"LO6701372";"COMWAY A3";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"1";"1";"";"";
"LO6701372";"COMWAY A3";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"chargeur";"987654321";
"LO6701372";"COMWAY A3";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"Cliveuse";"134679";
"LO6701372";"COMWAY A3";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"batterie";"123456789";
"LO6701372";"COMWAY A3";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"1234";"1";"";"";
"LO6701372";"COMWAY A3";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"2";"1";"";"";
"LO6701373";"COMWAY C10";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"LO6701373";"COMWAY C10";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"3";"1";"";"";
"LO6701374";"COMWAY C6";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"LO6701374";"COMWAY C6";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"4";"1";"";"";
"LO6701375";"SUMITOMO 72C";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"LO6701375";"SUMITOMO 72C";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"5";"1";"";"";
"LO6701376";"SUMITOMO 72C+";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"LO6701376";"SUMITOMO 72C+";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"6";"1";"";"";
"LO6701384";"Boite de jonction pour tubes PEHD";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"2";"";"";
"LO6701384";"Boite de jonction pour tubes PEHD";"21 Rue de la Dhuys, 93470 Coubron";"ACCESSOIRES";"";"2";"";"";
"LOC12406721472";"COMWAY C10";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"LOC12406721472";"COMWAY C10";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"1235";"1";"";"";
"LOC12406721472";"COMWAY C10";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"7";"1";"";"";
"LOC12406721472";"COMWAY C10";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"8";"1";"";"";
"LOCFS963CF";"COMPRESSEUR KEASER M50";"21 Rue de la Dhuys, 93470 Coubron";"ACCESSOIRES";"";"2";"";"";
"LOCFS963CF";"COMPRESSEUR KEASER M50";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"2";"";"";
"OU1440145";"Cisaille a feuillard";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"2";"";"";
"OU1440145";"Cisaille a feuillard";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"2";"";"";
"OU1520153";"Ciseau pour Kevlar";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"19";"";"";
"OU1520153";"Ciseau pour Kevlar";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"19";"";"";
"OU2170218";"Echelle 3 plans TUBESCA";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"18";"";"";
"OU2170218";"Echelle 3 plans TUBESCA";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"18";"";"";
"OU2330234";"Escabeau 3 marches EN131";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"3";"";"";
"OU2330234";"Escabeau 3 marches EN131";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"3";"";"";
"OU2370238";"Etabli de serrage MASTER 600";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"3";"";"";
"OU2370238";"Etabli de serrage MASTER 600";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"3";"";"";
"OU2440245";"Etiqueteuse BRADY MBP21-PLUS";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"2";"";"";
"OU2440245";"Etiqueteuse BRADY MBP21-PLUS";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"2";"";"";
"OU5370538";"Pistolet a colle";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"18";"";"";
"OU5370538";"Pistolet a colle";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"18";"";"";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"OU6010602";"Comway A4";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"70401932522";"1";"Cliveuse";"1082014705";
"OU6010602";"Comway A4";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"70401932522";"1";"batterie";"052201147F";
"OU6010602";"Comway A4";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"70401932522";"1";"chargeur";"007030322";
"OU6010602";"Comway A4";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"70401932525";"1";"chargeur";"005030322";
"OU6010602";"Comway A4";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"70401932525";"1";"Cliveuse";"1082015550";
"OU6010602";"Comway A4";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"70401932525";"1";"batterie";"052201501F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933303";"1";"chargeur";"020040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933304";"1";"chargeur";"010040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933304";"1";"Cliveuse";"CC 1082016254";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933304";"1";"batterie";"052203218F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933305";"1";"chargeur";"016040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933305";"1";"Cliveuse";"CC 1082016153";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933305";"1";"batterie";"052203212F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933306";"1";"Cliveuse";"CC 1082016160";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933306";"1";"batterie";"052203181F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933306";"1";"chargeur";"003040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933307";"1";"Cliveuse";"CC 1082016157";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933307";"1";"batterie";"052203215F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933307";"1";"chargeur";"007040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933308";"1";"Cliveuse";" CC 1082016287";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933308";"1";"batterie";"052203208F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933308";"1";"chargeur";"002040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933309";"1";"Cliveuse";"CC 1082016304";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933309";"1";"batterie";"052203209F";
